                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 2.6351,                 2.5728,                 2.1748,                0.84769,                0.11443,                0.16304,                0.07283,                 2.4125,                 2.6608,                 1.8678,             0.00059432,             0.00059432,             0.00059432
                     61,                 2.9488,                 2.5012,                 2.0588,                0.84769,                0.11443,                0.16304,                0.07283,                 2.4125,                 2.6608,                 1.8678,             0.00058017,             0.00058017,             0.00058017
                     62,                 2.6321,                 2.3858,                 2.0644,                0.86737,                0.12189,                0.17541,                0.07907,                 2.3375,                 2.8338,                 1.8294,             0.00056603,             0.00056603,             0.00056603
                     63,                 2.5226,                 3.0786,                 2.0983,                0.88174,                0.13119,                0.18714,                0.08578,                 2.3099,                 2.6261,                 1.7994,             0.00055188,             0.00055188,             0.00055188
                     64,                 2.5545,                 2.2128,                 1.7855,                0.86227,                0.13184,                0.20683,                0.09288,                 2.3328,                 2.3819,                 1.7761,             0.00053773,             0.00053773,             0.00053773
                     65,                  2.416,                 2.2813,                 2.0681,                0.86227,                0.13184,                0.20683,                0.09288,                 2.3328,                 2.3819,                 1.7761,             0.00052359,             0.00052359,             0.00052359
                     66,                 2.7047,                 2.5968,                 1.8452,                0.83596,                0.12935,                0.22969,                0.10026,                 2.3617,                 2.2142,                 1.7779,             0.00050944,             0.00050944,             0.00050944
                     67,                 2.4205,                 2.2056,                 1.8945,                0.24378,                0.25447,                0.23377,                 0.1018,                 2.3785,                 2.2906,                 1.7738,             0.00049529,             0.00049529,             0.00049529
                     68,                 2.3487,                 2.0875,                 1.8434,                0.61009,                0.26183,                0.25512,                0.10969,                 2.3613,                 2.2453,                 1.7625,             0.00048114,             0.00048114,             0.00048114
                     69,                 2.4793,                 2.4757,                 2.1519,                0.61009,                0.26183,                0.25512,                0.10969,                 2.3613,                 2.2453,                 1.7625,               0.000467,               0.000467,               0.000467
                     70,                 2.3213,                 2.0456,                 1.8303,                0.51303,                0.14428,                0.19549,                0.08677,                 2.3756,                  2.283,                 1.7768,             0.00045285,             0.00045285,             0.00045285
                     71,                  2.411,                 2.1144,                 1.8974,                0.50982,                0.14428,                0.18768,                0.08586,                 2.3274,                 2.2066,                 1.7673,              0.0004387,              0.0004387,              0.0004387
                     72,                 2.3794,                 2.2298,                 2.2201,                0.86197,                 0.1393,                0.19677,                0.09286,                 2.3633,                 2.1518,                 1.7798,             0.00042456,             0.00042456,             0.00042456
                     73,                 2.2412,                 2.0242,                 1.8384,                0.86197,                 0.1393,                0.19677,                0.09286,                 2.3633,                 2.1518,                 1.7798,             0.00041041,             0.00041041,             0.00041041
                     74,                 2.7761,                 2.3501,                 2.1213,                0.32623,                0.33557,                0.25194,                0.10843,                 2.4126,                 2.0586,                  1.789,             0.00039626,             0.00039626,             0.00039626
                     75,                  2.546,                 2.4336,                 2.0693,                0.44669,                 0.2638,                0.27864,                0.12859,                 2.3652,                 2.0218,                 1.7726,             0.00038211,             0.00038211,             0.00038211
                     76,                 2.3781,                 2.3006,                 2.0934,                0.49439,                0.23395,                0.27267,                0.11996,                 2.2751,                 2.0036,                 1.7471,             0.00036797,             0.00036797,             0.00036797
                     77,                 2.5849,                 2.2899,                 1.8358,                0.49439,                0.23395,                0.27267,                0.11996,                 2.2751,                 2.0036,                 1.7471,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.6052,                 4.7961,                 1.1999,                0.44787,                0.21487,                0.25295,                0.11111,                 2.2432,                 2.0085,                 1.7356,             0.00033967,             0.00033967,             0.00033967
                     79,                 2.5671,                 2.1244,                 1.8127,                0.40222,                0.23644,                0.25385,                0.11026,                 2.2156,                 2.0208,                 1.7243,             0.00032553,             0.00032553,             0.00032553
                     80,                 2.3862,                 2.1475,                 1.9535,                0.45335,                0.26022,                0.25538,                0.11589,                 2.2207,                 2.0336,                 1.7258,             0.00031138,             0.00031138,             0.00031138
                     81,                 2.2963,                 2.0888,                 1.8055,                0.45335,                0.26022,                0.25538,                0.11589,                 2.2207,                 2.0336,                 1.7258,             0.00029723,             0.00029723,             0.00029723
                     82,                 2.3395,                 2.1708,                 1.8642,                0.46768,                0.24717,                0.25485,                0.10775,                 2.2083,                 2.0407,                 1.7203,             0.00028308,             0.00028308,             0.00028308
                     83,                 2.2891,                 2.2358,                 1.8933,                0.26801,                0.27347,                0.25303,                0.10695,                 2.2335,                 2.0282,                 1.7246,             0.00026894,             0.00026894,             0.00026894
                     84,                 2.3122,                 2.0964,                 1.8219,                0.22032,                0.24141,                0.26335,                0.11393,                 2.2376,                 1.9926,                 1.7242,             0.00025479,             0.00025479,             0.00025479
                     85,                 2.7055,                 2.4956,                 1.8328,                0.22032,                0.24141,                0.26335,                0.11393,                 2.2376,                 1.9926,                 1.7242,             0.00024064,             0.00024064,             0.00024064
                     86,                 2.1588,                 2.0151,                 1.9137,                0.24109,                0.24141,                  0.267,                0.11803,                  2.252,                 1.9435,                 1.7254,              0.0002265,              0.0002265,              0.0002265
                     87,                 2.2465,                 2.1095,                 1.8728,                0.24044,                0.24021,                0.25983,                0.12237,                 2.2342,                 1.9187,                 1.7182,             0.00021235,             0.00021235,             0.00021235
                     88,                 2.3583,                 2.1906,                 2.0496,                0.29024,                0.27108,                0.27901,                0.12762,                 2.1576,                 1.9173,                 1.6974,              0.0001982,              0.0001982,              0.0001982
                     89,                 2.3437,                 2.0168,                 1.8975,                0.29024,                0.27108,                0.27901,                0.12762,                 2.1576,                 1.9173,                 1.6974,             0.00018406,             0.00018406,             0.00018406
                     90,                 3.0446,                 3.2293,                 1.9677,                0.31349,                0.30923,                0.27306,                 0.1311,                 2.0784,                 1.9075,                 1.6745,             0.00016991,             0.00016991,             0.00016991
                     91,                 2.2422,                 2.1231,                 1.8473,                0.27412,                0.29682,                0.27384,                0.13426,                 2.0127,                 1.9049,                 1.6539,             0.00015576,             0.00015576,             0.00015576
                     92,                 2.3893,                 3.3409,                 1.9098,                0.37957,                0.25643,                0.27587,                0.13161,                   1.99,                  1.892,                 1.6424,             0.00014161,             0.00014161,             0.00014161
                     93,                 2.1255,                 2.4646,                 1.7306,                0.37957,                0.25643,                0.27587,                0.13161,                   1.99,                  1.892,                 1.6424,             0.00012747,             0.00012747,             0.00012747
                     94,                 2.2322,                 2.2106,                 1.7374,                0.45329,                0.24047,                0.28568,                 0.1326,                 1.9855,                 1.9229,                 1.6399,             0.00011332,             0.00011332,             0.00011332
                     95,                 2.2049,                 3.4271,                 1.9898,                0.38322,                0.27044,                0.27572,                 0.1276,                 2.0022,                 1.9173,                 1.6412,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 2.5229,                 2.4891,                 1.8258,                0.34467,                0.26122,                0.26464,                0.12186,                 2.0382,                 1.9271,                 1.6459,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 2.7769,                 5.4737,                 1.8575,                0.34467,                0.26122,                0.26464,                0.12186,                 2.0382,                 1.9271,                 1.6459,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 2.3904,                 2.7082,                 1.7392,                0.36412,                0.29225,                0.26584,                0.12344,                 2.0731,                  1.941,                 1.6524,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 2.2969,                 2.3177,                 1.9246,                0.39144,                0.30899,                0.26612,                0.12299,                 2.0964,                 1.9642,                 1.6551,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 2.3408,                 2.2327,                 2.0482,                0.32632,                0.25002,                0.25687,                0.11864,                 2.0941,                 1.9784,                 1.6512,             2.8437e-05,             2.8437e-05,             2.8437e-05
